Ori_x,Ori_y,Ori_z,Ori_w,Pos_x,Pos_y,Pos_z,Obj_Pos_x,Obj_Pos_y,Obj_Pos_z,Label
0.707107,-0.707107,-1e-05,-1e-05,-0.048614,-0.32244,0.78213,-3e-06,-0.4,0.674977,0.0
-1.4e-05,-0.0,1.0,1e-06,0.206213,-0.348542,0.776883,-3e-06,-0.4,0.674977,1.0
0.707107,-0.707107,-1e-05,-1e-05,-0.031377,-0.051871,0.781949,-3e-06,-0.4,0.674977,0.0
0.707107,0.707107,-1e-05,1e-05,-0.00867,-0.657366,0.798818,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,0.023573,-0.36908,1.053518,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,0.015269,-0.366654,0.917425,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,0.00262,-0.402704,1.003469,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,-0.018429,-0.389335,0.938694,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,-0.007003,-0.390506,0.960451,-3e-06,-0.4,0.674977,1.0
-0.707107,0.707107,1e-05,1e-05,0.025003,-0.051412,0.801504,-3e-06,-0.4,0.674977,0.0
1e-06,0.707107,1e-06,0.707107,0.002154,-0.415351,1.094729,-3e-06,-0.4,0.674977,0.0
-0.0,1.4e-05,1e-06,1.0,-0.241874,-0.375143,0.795583,-3e-06,-0.4,0.674977,1.0
0.707107,0.707107,-1e-05,1e-05,-0.026979,-0.642451,0.773151,-3e-06,-0.4,0.674977,1.0
2e-06,0.707107,2e-06,0.707107,0.017762,-0.420006,0.956742,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,-0.023033,-0.33706,0.911537,-3e-06,-0.4,0.674977,0.0
1e-06,0.707107,1e-06,0.707107,0.006332,-0.379176,1.029135,-3e-06,-0.4,0.674977,1.0
0.707107,0.707107,-1e-05,1e-05,-0.012905,-0.604985,0.798807,-3e-06,-0.4,0.674977,0.0
-1.4e-05,-0.0,1.0,1e-06,0.448755,-0.374616,0.786777,-3e-06,-0.4,0.674977,0.0
1e-06,0.707107,1e-06,0.707107,-0.043512,-0.390162,0.925248,-3e-06,-0.4,0.674977,0.0
0.707107,-0.707107,-1e-05,-1e-05,-0.052664,-0.15077,0.794086,-3e-06,-0.4,0.674977,1.0
-1.4e-05,-0.0,1.0,1e-06,0.223861,-0.433223,0.795852,-3e-06,-0.4,0.674977,1.0
