Ori_x,Ori_y,Ori_z,Ori_w,Pos_x,Pos_y,Pos_z,Obj_Pos_x,Obj_Pos_y,Obj_Pos_z,Label
-0.707083,0.70713,0.000884,0.001092,-0.026344,-0.410852,0.979964,-0.028556,-0.446283,0.629575,0.0
0.707786,-0.706385,-0.00317,-0.006991,-0.060314,-0.443844,0.87681,-0.03349,-0.425051,0.612163,0.0
0.707382,-0.70683,-0.001011,-0.000555,-0.039137,-0.483658,0.909998,-0.009449,-0.453488,0.61288,0.0
-0.70587,0.708312,0.006346,0.001223,-0.066685,-0.459148,0.864392,0.003584,-0.447006,0.615621,0.0
0.707316,-0.706898,0.00013,-0.000572,-0.00828,-0.460977,0.998463,-0.041581,-0.46081,0.615303,0.0
0.708609,-0.705582,0.000537,-0.005102,-0.022957,-0.443558,0.839753,-0.062529,-0.425558,0.584087,0.0
-0.699382,0.714746,-0.00058,-0.001732,0.019317,-0.445427,0.827342,-0.052317,-0.453977,0.571844,1.0
-0.677778,0.734322,0.017681,-0.032797,-0.07702,-0.443317,0.80278,-0.111075,-0.478053,0.696129,0.0
-0.707107,0.707107,-0.0,-1e-06,-0.066159,-0.420194,0.83769,0.214974,-0.403654,0.614702,0.0
0.70782,-0.706371,-0.004024,-0.003752,-0.010015,-0.470523,0.970834,-0.018276,-0.380375,0.623405,0.0
0.709108,-0.70508,0.004416,-0.002926,0.026946,-0.42765,0.909561,-0.045231,-0.384047,0.596247,0.0
0.709363,-0.70481,-0.003362,-0.005946,-0.038004,-0.426732,0.903744,-0.012019,-0.418134,0.62498,1.0
-0.706091,0.708101,0.004497,0.002934,-0.063836,-0.420342,0.896237,-0.0156,-0.41734,0.624231,0.0
0.707211,-0.706926,-0.00747,-0.007278,-0.045204,-0.447182,0.905709,-0.039971,-0.425516,0.611771,0.0
0.707933,-0.70625,-0.003549,-0.005349,0.03027,-0.406953,0.903035,-0.002007,-0.410259,0.61937,0.0
0.707279,-0.706921,-0.002412,-0.003768,0.027909,-0.47257,0.915186,-0.047389,-0.444355,0.617887,1.0
0.70761,-0.706585,-0.00377,-0.003455,-0.020302,-0.478902,0.976722,0.007964,-0.417509,0.615033,0.0
-0.706935,0.707224,0.006248,0.006077,-0.020259,-0.470173,0.878231,-0.03596,-0.450979,0.614813,1.0
0.707294,-0.7069,-0.003308,-0.004193,-0.058412,-0.464754,0.921512,-0.037318,-0.452723,0.619549,1.0
-0.706747,0.707465,0.000366,0.001031,-0.020563,-0.433175,0.864251,-0.043196,-0.431876,0.603417,1.0
-0.706551,0.707658,0.000653,-0.002309,-0.059031,-0.376611,0.909969,-0.008819,-0.436698,0.610764,1.0
-0.706253,0.707902,0.00764,0.004849,-0.021111,-0.408498,0.918279,-0.029495,-0.384138,0.640536,1.0
0.732706,-0.67985,0.030495,-0.003909,-0.065971,-0.4319,0.79129,0.029843,-0.62601,0.674322,1.0
0.708434,-0.705776,-2.4e-05,0.000941,-0.005504,-0.443778,0.942985,-0.048154,-0.388365,0.658326,0.0
-0.706989,0.707207,0.003375,0.003761,0.056465,-0.444889,0.928552,-0.075718,-0.379201,0.654722,0.0
-0.705686,0.708483,0.00601,0.004764,0.019876,-0.48263,0.871647,-0.058389,-0.503617,0.639293,1.0
-0.704816,0.709339,0.007624,0.00391,0.003516,-0.446231,0.952273,-0.091609,-0.474101,0.635223,1.0
0.70815,-0.706028,-0.004101,-0.005609,-0.007163,-0.427992,0.922504,-0.001673,-0.369762,0.645327,1.0
0.707698,-0.706496,-0.002458,-0.004614,-0.010075,-0.427183,0.88615,-0.037214,-0.419577,0.624094,1.0
0.70891,-0.705271,-0.001776,-0.006007,-0.024796,-0.458602,0.893445,-0.026763,-0.431878,0.613856,1.0
-0.705141,0.709018,0.007868,0.002575,-0.049963,-0.40976,0.862541,-0.005979,-0.406597,0.611278,1.0
0.707169,-0.707032,-0.002105,-0.003671,-0.043452,-0.47014,0.932646,-0.049007,-0.461303,0.611028,1.0
0.710962,-0.703224,0.00282,-9.9e-05,-0.011062,-0.462368,0.845974,-0.036112,-0.456845,0.590987,1.0
0.707994,-0.706197,-0.003815,-0.003994,-0.00526,-0.430293,0.92907,-0.022978,-0.359145,0.651878,1.0
-0.706317,0.707874,0.003423,0.004354,-0.003021,-0.420385,0.949192,-0.061731,-0.437867,0.618232,1.0
0.708814,-0.70539,-0.00275,0.000609,-0.013666,-0.475614,0.891286,-0.029919,-0.437766,0.616644,1.0
-0.703062,0.711067,0.006571,0.006649,-0.034983,-0.469382,0.82163,-0.071835,-0.473502,0.563794,1.0
-0.706018,0.708076,0.011743,-0.005447,-0.054469,-0.450016,0.829745,-0.000126,-0.43549,0.605103,1.0
0.707248,-0.706949,-0.003074,-0.003668,-0.023255,-0.451596,0.956132,-0.091076,-0.400819,0.652194,0.0
-0.706898,0.707301,0.002923,0.003457,-0.003573,-0.412105,0.873016,-0.047379,-0.409483,0.634831,1.0
0.707178,-0.707009,-0.004302,-0.004277,-0.046532,-0.468203,0.909479,-0.027567,-0.437718,0.617487,1.0
-0.705792,0.708376,0.005269,0.005749,-0.035561,-0.454848,0.897725,-0.051227,-0.445739,0.630045,0.0
-0.705895,0.708305,0.002214,-0.003345,-0.017259,-0.430286,0.832696,-0.041102,-0.44924,0.573117,0.0
0.707228,-0.706959,-0.004129,-0.004508,-0.010638,-0.453573,0.913716,-0.041227,-0.451432,0.605849,1.0
-0.706715,0.70747,-0.006325,-0.000341,-0.021149,-0.417385,0.837637,-0.048858,-0.436989,0.572873,1.0
-0.70685,0.707329,0.005738,0.003874,-0.010336,-0.443312,0.897668,-0.050752,-0.411918,0.627325,1.0
-0.705767,0.708406,0.007176,0.001499,-0.014856,-0.462776,0.860278,-0.031115,-0.443041,0.606715,1.0
0.707884,-0.706273,-0.004906,-0.00734,-0.011084,-0.489812,0.863192,-0.047292,-0.479411,0.607323,1.0
-0.705836,0.708352,0.004784,0.003194,-0.024871,-0.433167,0.931189,-0.029657,-0.433378,0.631977,1.0
0.710388,-0.70369,0.003534,-0.012529,-0.067934,-0.459094,0.822587,0.005938,-0.480103,0.625234,0.0
-0.704814,0.709388,-0.002504,-0.000511,-0.039792,-0.394556,0.86647,-0.013969,-0.439841,0.595738,0.0
-0.706495,0.707651,0.005892,0.007721,-0.035123,-0.440116,0.912736,-0.063012,-0.440003,0.626157,1.0
-0.70702,0.707183,0.003427,0.001631,0.007233,-0.433798,0.872398,-0.036901,-0.414497,0.614467,1.0
