Ori_x,Ori_y,Ori_z,Ori_w,Pos_x,Pos_y,Pos_z,Obj_Pos_x,Obj_Pos_y,Obj_Pos_z,Label
0.007057,0.707005,-0.006044,0.707148,0.045659,-0.461735,0.848464,-1.415568,-4.177379,-20.835823,0
0.001715,0.707281,-0.001574,0.706928,-0.00549,-0.432899,0.955302,0.030849,-0.458243,0.617763,0
-0.005982,0.707067,0.007032,0.707086,0.006664,-0.444792,0.932995,-1.109107,-3.16796,-5.242612,0
0.010955,0.707046,-0.009931,0.707013,-0.017235,-0.501026,0.910712,-0.021502,-0.500142,0.483481,0
0.002111,0.707118,-0.001061,0.707092,-0.075587,-0.458279,0.89769,0.063988,-0.445273,0.614702,0
0.01881,0.706925,-0.018024,0.706808,-0.027044,-0.458877,0.879739,-0.006221,-0.454594,0.482993,0
0.041376,0.705907,-0.040383,0.705941,-0.008414,-0.450044,0.877015,0.060331,-0.41711,0.468779,0
-0.040963,0.70639,0.041807,0.705398,-0.058731,-0.440287,0.921906,0.014622,-0.47998,0.607347,0
0.186852,0.686912,-0.154762,0.685045,-0.01736,-0.446171,0.825746,0.267713,-3.518538,-15.538115,0
1e-06,0.707107,-1e-06,0.707107,-0.005265,-0.471094,1.004045,0.096186,-0.369254,0.665969,0
0.021518,0.707382,-0.020985,0.706192,-0.027684,-0.454522,0.87649,0.04094,-0.455866,0.622274,0
-0.004688,0.704951,0.012879,0.709124,-0.00875,-0.491586,0.827668,1.646046,-4.067877,-24.317414,0
0.011909,0.70697,-0.010722,0.707062,-0.002553,-0.433321,0.869516,-0.009494,-0.474116,0.520831,0
0.08703,0.70219,-0.086286,0.701362,-0.00828,-0.424731,0.871692,0.045467,-0.446102,0.572328,0
0.017182,0.706955,-0.015704,0.706875,-0.070639,-0.46981,0.90136,-0.051328,-0.576159,0.771659,0
0.001975,0.70711,-0.000993,0.707101,-0.002133,-0.463679,0.914858,-0.020758,-0.506626,0.488224,0
-0.011023,0.707021,0.01194,0.707006,-0.039263,-0.474817,0.925058,0.047857,-0.457375,0.636344,1
0.01696,0.706925,-0.015875,0.706907,-0.030268,-0.48567,0.90482,-0.043888,-0.451201,0.517255,0
0.008179,0.707069,-0.007207,0.70706,-0.067319,-0.500652,0.857462,-0.416765,-0.7152,0.626343,0
